PRECINCT,CANDIDATE,PARTY,VOTES,PERCENTAGE
Election District 28-01,CIRO POPPITI III,Democratic Party,36,100 %
Election District 01-01,SCOTT PHILLIPS,Democratic Party,461,97.26 %
Election District 01-01,JOHN MACHUREK,Non-Partisan Delaware,13,2.74 %
Election District 01-02,SCOTT PHILLIPS,Democratic Party,531,97.25 %
Election District 01-02,JOHN MACHUREK,Non-Partisan Delaware,15,2.75 %
Election District 01-03,SCOTT PHILLIPS,Democratic Party,290,97.64 %
Election District 01-03,JOHN MACHUREK,Non-Partisan Delaware,7,2.36 %
Election District 01-04,SCOTT PHILLIPS,Democratic Party,410,96.24 %
Election District 01-04,JOHN MACHUREK,Non-Partisan Delaware,16,3.76 %
Election District 01-05,SCOTT PHILLIPS,Democratic Party,700,93.46 %
Election District 01-05,JOHN MACHUREK,Non-Partisan Delaware,49,6.54 %
Election District 01-06,SCOTT PHILLIPS,Democratic Party,175,95.11 %
Election District 01-06,JOHN MACHUREK,Non-Partisan Delaware,9,4.89 %
Election District 01-07,SCOTT PHILLIPS,Democratic Party,86,92.47 %
Election District 01-07,JOHN MACHUREK,Non-Partisan Delaware,7,7.53 %
Election District 01-08,SCOTT PHILLIPS,Democratic Party,651,90.67 %
Election District 01-08,JOHN MACHUREK,Non-Partisan Delaware,67,9.33 %
Election District 01-09,SCOTT PHILLIPS,Democratic Party,498,93.43 %
Election District 01-09,JOHN MACHUREK,Non-Partisan Delaware,35,6.57 %
Election District 01-10,SCOTT PHILLIPS,Democratic Party,391,98.99 %
Election District 01-10,JOHN MACHUREK,Non-Partisan Delaware,4,1.01 %
Election District 01-11,SCOTT PHILLIPS,Democratic Party,356,95.19 %
Election District 01-11,JOHN MACHUREK,Non-Partisan Delaware,18,4.81 %
Election District 01-12,SCOTT PHILLIPS,Democratic Party,64,90.14 %
Election District 01-12,JOHN MACHUREK,Non-Partisan Delaware,7,9.86 %
Election District 01-13,SCOTT PHILLIPS,Democratic Party,460,92 %
Election District 01-13,JOHN MACHUREK,Non-Partisan Delaware,40,8 %
Election District 01-14,SCOTT PHILLIPS,Democratic Party,380,92.23 %
Election District 01-14,JOHN MACHUREK,Non-Partisan Delaware,32,7.77 %
Election District 01-15,SCOTT PHILLIPS,Democratic Party,5,100 %
Election District 01-15,JOHN MACHUREK,Non-Partisan Delaware,0,0 %
Election District 01-16,SCOTT PHILLIPS,Democratic Party,20,80 %
Election District 01-16,JOHN MACHUREK,Non-Partisan Delaware,5,20 %
Election District 01-17,SCOTT PHILLIPS,Democratic Party,0,0 %
Election District 01-17,JOHN MACHUREK,Non-Partisan Delaware,0,0 %
Election District 02-01,SCOTT PHILLIPS,Democratic Party,142,97.93 %
Election District 02-01,JOHN MACHUREK,Non-Partisan Delaware,3,2.07 %
Election District 02-02,SCOTT PHILLIPS,Democratic Party,167,92.27 %
Election District 02-02,JOHN MACHUREK,Non-Partisan Delaware,14,7.73 %
Election District 02-03,SCOTT PHILLIPS,Democratic Party,80,94.12 %
Election District 02-03,JOHN MACHUREK,Non-Partisan Delaware,5,5.88 %
Election District 02-04,SCOTT PHILLIPS,Democratic Party,216,94.74 %
Election District 02-04,JOHN MACHUREK,Non-Partisan Delaware,12,5.26 %
Election District 02-05,SCOTT PHILLIPS,Democratic Party,142,93.42 %
Election District 02-05,JOHN MACHUREK,Non-Partisan Delaware,10,6.58 %
Election District 02-06,SCOTT PHILLIPS,Democratic Party,252,93.68 %
Election District 02-06,JOHN MACHUREK,Non-Partisan Delaware,17,6.32 %
Election District 02-07,SCOTT PHILLIPS,Democratic Party,346,83.37 %
Election District 02-07,JOHN MACHUREK,Non-Partisan Delaware,69,16.63 %
Election District 02-08,SCOTT PHILLIPS,Democratic Party,258,91.49 %
Election District 02-08,JOHN MACHUREK,Non-Partisan Delaware,24,8.51 %
Election District 02-09,SCOTT PHILLIPS,Democratic Party,223,96.96 %
Election District 02-09,JOHN MACHUREK,Non-Partisan Delaware,7,3.04 %
Election District 02-10,SCOTT PHILLIPS,Democratic Party,164,97.62 %
Election District 02-10,JOHN MACHUREK,Non-Partisan Delaware,4,2.38 %
Election District 02-11,SCOTT PHILLIPS,Democratic Party,289,96.98 %
Election District 02-11,JOHN MACHUREK,Non-Partisan Delaware,9,3.02 %
Election District 02-12,SCOTT PHILLIPS,Democratic Party,86,89.58 %
Election District 02-12,JOHN MACHUREK,Non-Partisan Delaware,10,10.42 %
Election District 02-13,SCOTT PHILLIPS,Democratic Party,40,93.02 %
Election District 02-13,JOHN MACHUREK,Non-Partisan Delaware,3,6.98 %
Election District 02-14,SCOTT PHILLIPS,Democratic Party,33,86.84 %
Election District 02-14,JOHN MACHUREK,Non-Partisan Delaware,5,13.16 %
Election District 02-15,SCOTT PHILLIPS,Democratic Party,40,95.24 %
Election District 02-15,JOHN MACHUREK,Non-Partisan Delaware,2,4.76 %
Election District 02-16,SCOTT PHILLIPS,Democratic Party,310,94.51 %
Election District 02-16,JOHN MACHUREK,Non-Partisan Delaware,18,5.49 %
Election District 02-17,SCOTT PHILLIPS,Democratic Party,174,97.75 %
Election District 02-17,JOHN MACHUREK,Non-Partisan Delaware,4,2.25 %
Election District 02-18,SCOTT PHILLIPS,Democratic Party,35,97.22 %
Election District 02-18,JOHN MACHUREK,Non-Partisan Delaware,1,2.78 %
Election District 02-19,SCOTT PHILLIPS,Democratic Party,6,100 %
Election District 02-19,JOHN MACHUREK,Non-Partisan Delaware,0,0 %
Election District 02-20,SCOTT PHILLIPS,Democratic Party,9,100 %
Election District 02-20,JOHN MACHUREK,Non-Partisan Delaware,0,0 %
Election District 02-21,SCOTT PHILLIPS,Democratic Party,3,100 %
Election District 02-21,JOHN MACHUREK,Non-Partisan Delaware,0,0 %
Election District 02-22,SCOTT PHILLIPS,Democratic Party,0,0 %
Election District 02-22,JOHN MACHUREK,Non-Partisan Delaware,0,0 %
Election District 02-23,SCOTT PHILLIPS,Democratic Party,0,0 %
Election District 02-23,JOHN MACHUREK,Non-Partisan Delaware,0,0 %
Election District 03-01,SCOTT PHILLIPS,Democratic Party,210,93.33 %
Election District 03-01,JOHN MACHUREK,Non-Partisan Delaware,15,6.67 %
Election District 03-02,SCOTT PHILLIPS,Democratic Party,495,90.16 %
Election District 03-02,JOHN MACHUREK,Non-Partisan Delaware,54,9.84 %
Election District 03-03,SCOTT PHILLIPS,Democratic Party,302,90.96 %
Election District 03-03,JOHN MACHUREK,Non-Partisan Delaware,30,9.04 %
Election District 03-04,SCOTT PHILLIPS,Democratic Party,287,96.96 %
Election District 03-04,JOHN MACHUREK,Non-Partisan Delaware,9,3.04 %
Election District 03-05,SCOTT PHILLIPS,Democratic Party,326,93.41 %
Election District 03-05,JOHN MACHUREK,Non-Partisan Delaware,23,6.59 %
Election District 03-06,SCOTT PHILLIPS,Democratic Party,79,96.34 %
Election District 03-06,JOHN MACHUREK,Non-Partisan Delaware,3,3.66 %
Election District 03-07,SCOTT PHILLIPS,Democratic Party,291,93.27 %
Election District 03-07,JOHN MACHUREK,Non-Partisan Delaware,21,6.73 %
Election District 03-08,SCOTT PHILLIPS,Democratic Party,358,89.28 %
Election District 03-08,JOHN MACHUREK,Non-Partisan Delaware,43,10.72 %
Election District 03-09,SCOTT PHILLIPS,Democratic Party,335,92.8 %
Election District 03-09,JOHN MACHUREK,Non-Partisan Delaware,26,7.2 %
Election District 03-10,SCOTT PHILLIPS,Democratic Party,127,87.59 %
Election District 03-10,JOHN MACHUREK,Non-Partisan Delaware,18,12.41 %
Election District 03-11,SCOTT PHILLIPS,Democratic Party,103,91.15 %
Election District 03-11,JOHN MACHUREK,Non-Partisan Delaware,10,8.85 %
Election District 03-12,SCOTT PHILLIPS,Democratic Party,31,83.78 %
Election District 03-12,JOHN MACHUREK,Non-Partisan Delaware,6,16.22 %
Election District 03-13,SCOTT PHILLIPS,Democratic Party,27,90 %
Election District 03-13,JOHN MACHUREK,Non-Partisan Delaware,3,10 %
Election District 03-14,SCOTT PHILLIPS,Democratic Party,85,85.86 %
Election District 03-14,JOHN MACHUREK,Non-Partisan Delaware,14,14.14 %
Election District 05-01,SCOTT PHILLIPS,Democratic Party,622,91.34 %
Election District 05-01,JOHN MACHUREK,Non-Partisan Delaware,59,8.66 %
Election District 05-02,SCOTT PHILLIPS,Democratic Party,220,81.18 %
Election District 05-02,JOHN MACHUREK,Non-Partisan Delaware,51,18.82 %
Election District 05-03,SCOTT PHILLIPS,Democratic Party,315,91.57 %
Election District 05-03,JOHN MACHUREK,Non-Partisan Delaware,29,8.43 %
Election District 05-04,SCOTT PHILLIPS,Democratic Party,364,91.69 %
Election District 05-04,JOHN MACHUREK,Non-Partisan Delaware,33,8.31 %
Election District 05-05,SCOTT PHILLIPS,Democratic Party,444,94.67 %
Election District 05-05,JOHN MACHUREK,Non-Partisan Delaware,25,5.33 %
Election District 05-06,SCOTT PHILLIPS,Democratic Party,473,92.75 %
Election District 05-06,JOHN MACHUREK,Non-Partisan Delaware,37,7.25 %
Election District 05-07,SCOTT PHILLIPS,Democratic Party,349,92.08 %
Election District 05-07,JOHN MACHUREK,Non-Partisan Delaware,30,7.92 %
Election District 05-08,SCOTT PHILLIPS,Democratic Party,721,87.82 %
Election District 05-08,JOHN MACHUREK,Non-Partisan Delaware,100,12.18 %
Election District 05-09,SCOTT PHILLIPS,Democratic Party,289,93.83 %
Election District 05-09,JOHN MACHUREK,Non-Partisan Delaware,19,6.17 %
Election District 05-10,SCOTT PHILLIPS,Democratic Party,374,94.92 %
Election District 05-10,JOHN MACHUREK,Non-Partisan Delaware,20,5.08 %
Election District 05-11,SCOTT PHILLIPS,Democratic Party,58,87.88 %
Election District 05-11,JOHN MACHUREK,Non-Partisan Delaware,8,12.12 %
Election District 06-01,SCOTT PHILLIPS,Democratic Party,460,83.64 %
Election District 06-01,JOHN MACHUREK,Non-Partisan Delaware,90,16.36 %
Election District 06-02,SCOTT PHILLIPS,Democratic Party,591,84.31 %
Election District 06-02,JOHN MACHUREK,Non-Partisan Delaware,110,15.69 %
Election District 06-03,SCOTT PHILLIPS,Democratic Party,138,82.63 %
Election District 06-03,JOHN MACHUREK,Non-Partisan Delaware,29,17.37 %
Election District 06-04,SCOTT PHILLIPS,Democratic Party,456,87.69 %
Election District 06-04,JOHN MACHUREK,Non-Partisan Delaware,64,12.31 %
Election District 06-05,SCOTT PHILLIPS,Democratic Party,384,89.93 %
Election District 06-05,JOHN MACHUREK,Non-Partisan Delaware,43,10.07 %
Election District 06-06,SCOTT PHILLIPS,Democratic Party,636,88.58 %
Election District 06-06,JOHN MACHUREK,Non-Partisan Delaware,82,11.42 %
Election District 06-07,SCOTT PHILLIPS,Democratic Party,494,84.44 %
Election District 06-07,JOHN MACHUREK,Non-Partisan Delaware,91,15.56 %
Election District 06-08,SCOTT PHILLIPS,Democratic Party,348,83.65 %
Election District 06-08,JOHN MACHUREK,Non-Partisan Delaware,68,16.35 %
Election District 06-09,SCOTT PHILLIPS,Democratic Party,709,87.42 %
Election District 06-09,JOHN MACHUREK,Non-Partisan Delaware,102,12.58 %
Election District 06-10,SCOTT PHILLIPS,Democratic Party,607,86.34 %
Election District 06-10,JOHN MACHUREK,Non-Partisan Delaware,96,13.66 %
Election District 06-11,SCOTT PHILLIPS,Democratic Party,525,86.07 %
Election District 06-11,JOHN MACHUREK,Non-Partisan Delaware,85,13.93 %
Election District 06-12,SCOTT PHILLIPS,Democratic Party,650,82.8 %
Election District 06-12,JOHN MACHUREK,Non-Partisan Delaware,135,17.2 %
Election District 06-13,SCOTT PHILLIPS,Democratic Party,416,85.42 %
Election District 06-13,JOHN MACHUREK,Non-Partisan Delaware,71,14.58 %
Election District 06-14,SCOTT PHILLIPS,Democratic Party,55,90.16 %
Election District 06-14,JOHN MACHUREK,Non-Partisan Delaware,6,9.84 %
Election District 06-15,SCOTT PHILLIPS,Democratic Party,59,90.77 %
Election District 06-15,JOHN MACHUREK,Non-Partisan Delaware,6,9.23 %
Election District 06-16,SCOTT PHILLIPS,Democratic Party,0,0 %
Election District 06-16,JOHN MACHUREK,Non-Partisan Delaware,0,0 %
Election District 07-01,SCOTT PHILLIPS,Democratic Party,349,81.73 %
Election District 07-01,JOHN MACHUREK,Non-Partisan Delaware,78,18.27 %
Election District 07-02,SCOTT PHILLIPS,Democratic Party,406,88.26 %
Election District 07-02,JOHN MACHUREK,Non-Partisan Delaware,54,11.74 %
Election District 07-03,SCOTT PHILLIPS,Democratic Party,310,81.15 %
Election District 07-03,JOHN MACHUREK,Non-Partisan Delaware,72,18.85 %
Election District 07-04,SCOTT PHILLIPS,Democratic Party,416,90.04 %
Election District 07-04,JOHN MACHUREK,Non-Partisan Delaware,46,9.96 %
Election District 07-05,SCOTT PHILLIPS,Democratic Party,690,89.15 %
Election District 07-05,JOHN MACHUREK,Non-Partisan Delaware,84,10.85 %
Election District 07-06,SCOTT PHILLIPS,Democratic Party,411,82.36 %
Election District 07-06,JOHN MACHUREK,Non-Partisan Delaware,88,17.64 %
Election District 07-07,SCOTT PHILLIPS,Democratic Party,495,89.03 %
Election District 07-07,JOHN MACHUREK,Non-Partisan Delaware,61,10.97 %
Election District 07-08,SCOTT PHILLIPS,Democratic Party,280,83.33 %
Election District 07-08,JOHN MACHUREK,Non-Partisan Delaware,56,16.67 %
Election District 07-09,SCOTT PHILLIPS,Democratic Party,382,82.15 %
Election District 07-09,JOHN MACHUREK,Non-Partisan Delaware,83,17.85 %
Election District 07-10,SCOTT PHILLIPS,Democratic Party,313,85.99 %
Election District 07-10,JOHN MACHUREK,Non-Partisan Delaware,51,14.01 %
Election District 07-11,SCOTT PHILLIPS,Democratic Party,328,88.65 %
Election District 07-11,JOHN MACHUREK,Non-Partisan Delaware,42,11.35 %
Election District 07-12,SCOTT PHILLIPS,Democratic Party,319,93.27 %
Election District 07-12,JOHN MACHUREK,Non-Partisan Delaware,23,6.73 %
Election District 07-13,SCOTT PHILLIPS,Democratic Party,2,100 %
Election District 07-13,JOHN MACHUREK,Non-Partisan Delaware,0,0 %
Election District 08-01,SCOTT PHILLIPS,Democratic Party,289,64.65 %
Election District 08-01,JOHN MACHUREK,Non-Partisan Delaware,158,35.35 %
Election District 08-02,SCOTT PHILLIPS,Democratic Party,578,85.76 %
Election District 08-02,JOHN MACHUREK,Non-Partisan Delaware,96,14.24 %
Election District 08-03,SCOTT PHILLIPS,Democratic Party,414,83.13 %
Election District 08-03,JOHN MACHUREK,Non-Partisan Delaware,84,16.87 %
Election District 08-04,SCOTT PHILLIPS,Democratic Party,408,87.74 %
Election District 08-04,JOHN MACHUREK,Non-Partisan Delaware,57,12.26 %
Election District 08-05,SCOTT PHILLIPS,Democratic Party,826,84.8 %
Election District 08-05,JOHN MACHUREK,Non-Partisan Delaware,148,15.2 %
Election District 08-06,SCOTT PHILLIPS,Democratic Party,537,77.83 %
Election District 08-06,JOHN MACHUREK,Non-Partisan Delaware,153,22.17 %
Election District 08-07,SCOTT PHILLIPS,Democratic Party,296,79.57 %
Election District 08-07,JOHN MACHUREK,Non-Partisan Delaware,76,20.43 %
Election District 08-08,SCOTT PHILLIPS,Democratic Party,747,85.37 %
Election District 08-08,JOHN MACHUREK,Non-Partisan Delaware,128,14.63 %
Election District 08-09,SCOTT PHILLIPS,Democratic Party,451,75.42 %
Election District 08-09,JOHN MACHUREK,Non-Partisan Delaware,147,24.58 %
Election District 08-10,SCOTT PHILLIPS,Democratic Party,483,82.99 %
Election District 08-10,JOHN MACHUREK,Non-Partisan Delaware,99,17.01 %
Election District 08-11,SCOTT PHILLIPS,Democratic Party,198,76.45 %
Election District 08-11,JOHN MACHUREK,Non-Partisan Delaware,61,23.55 %
Election District 09-01,SCOTT PHILLIPS,Democratic Party,383,68.76 %
Election District 09-01,JOHN MACHUREK,Non-Partisan Delaware,174,31.24 %
Election District 09-02,SCOTT PHILLIPS,Democratic Party,569,82.7 %
Election District 09-02,JOHN MACHUREK,Non-Partisan Delaware,119,17.3 %
Election District 09-03,SCOTT PHILLIPS,Democratic Party,698,79.23 %
Election District 09-03,JOHN MACHUREK,Non-Partisan Delaware,183,20.77 %
Election District 09-04,SCOTT PHILLIPS,Democratic Party,204,76.98 %
Election District 09-04,JOHN MACHUREK,Non-Partisan Delaware,61,23.02 %
Election District 09-05,SCOTT PHILLIPS,Democratic Party,444,86.21 %
Election District 09-05,JOHN MACHUREK,Non-Partisan Delaware,71,13.79 %
Election District 09-06,SCOTT PHILLIPS,Democratic Party,365,84.49 %
Election District 09-06,JOHN MACHUREK,Non-Partisan Delaware,67,15.51 %
Election District 09-07,SCOTT PHILLIPS,Democratic Party,11,61.11 %
Election District 09-07,JOHN MACHUREK,Non-Partisan Delaware,7,38.89 %
Election District 09-08,SCOTT PHILLIPS,Democratic Party,295,80.6 %
Election District 09-08,JOHN MACHUREK,Non-Partisan Delaware,71,19.4 %
Election District 09-09,SCOTT PHILLIPS,Democratic Party,51,68 %
Election District 09-09,JOHN MACHUREK,Non-Partisan Delaware,24,32 %
Election District 09-10,SCOTT PHILLIPS,Democratic Party,564,83.19 %
Election District 09-10,JOHN MACHUREK,Non-Partisan Delaware,114,16.81 %
Election District 09-11,SCOTT PHILLIPS,Democratic Party,743,77.32 %
Election District 09-11,JOHN MACHUREK,Non-Partisan Delaware,218,22.68 %
Election District 09-12,SCOTT PHILLIPS,Democratic Party,761,80.7 %
Election District 09-12,JOHN MACHUREK,Non-Partisan Delaware,182,19.3 %
Election District 09-13,SCOTT PHILLIPS,Democratic Party,874,81.84 %
Election District 09-13,JOHN MACHUREK,Non-Partisan Delaware,194,18.16 %
Election District 10-01,SCOTT PHILLIPS,Democratic Party,419,85.34 %
Election District 10-01,JOHN MACHUREK,Non-Partisan Delaware,72,14.66 %
Election District 10-02,SCOTT PHILLIPS,Democratic Party,481,84.39 %
Election District 10-02,JOHN MACHUREK,Non-Partisan Delaware,89,15.61 %
Election District 10-03,SCOTT PHILLIPS,Democratic Party,470,87.85 %
Election District 10-03,JOHN MACHUREK,Non-Partisan Delaware,65,12.15 %
Election District 10-04,SCOTT PHILLIPS,Democratic Party,407,88.1 %
Election District 10-04,JOHN MACHUREK,Non-Partisan Delaware,55,11.9 %
Election District 10-05,SCOTT PHILLIPS,Democratic Party,600,85.96 %
Election District 10-05,JOHN MACHUREK,Non-Partisan Delaware,98,14.04 %
Election District 10-06,SCOTT PHILLIPS,Democratic Party,536,82.97 %
Election District 10-06,JOHN MACHUREK,Non-Partisan Delaware,110,17.03 %
Election District 10-07,SCOTT PHILLIPS,Democratic Party,475,85.43 %
Election District 10-07,JOHN MACHUREK,Non-Partisan Delaware,81,14.57 %
Election District 10-08,SCOTT PHILLIPS,Democratic Party,446,89.74 %
Election District 10-08,JOHN MACHUREK,Non-Partisan Delaware,51,10.26 %
Election District 10-09,SCOTT PHILLIPS,Democratic Party,382,84.51 %
Election District 10-09,JOHN MACHUREK,Non-Partisan Delaware,70,15.49 %
Election District 10-10,SCOTT PHILLIPS,Democratic Party,653,85.47 %
Election District 10-10,JOHN MACHUREK,Non-Partisan Delaware,111,14.53 %
Election District 10-11,SCOTT PHILLIPS,Democratic Party,574,88.04 %
Election District 10-11,JOHN MACHUREK,Non-Partisan Delaware,78,11.96 %
Election District 10-12,SCOTT PHILLIPS,Democratic Party,513,87.39 %
Election District 10-12,JOHN MACHUREK,Non-Partisan Delaware,74,12.61 %
Election District 11-01,SCOTT PHILLIPS,Democratic Party,379,80.64 %
Election District 11-01,JOHN MACHUREK,Non-Partisan Delaware,91,19.36 %
Election District 11-02,SCOTT PHILLIPS,Democratic Party,761,77.26 %
Election District 11-02,JOHN MACHUREK,Non-Partisan Delaware,224,22.74 %
Election District 11-03,SCOTT PHILLIPS,Democratic Party,295,58.42 %
Election District 11-03,JOHN MACHUREK,Non-Partisan Delaware,210,41.58 %
Election District 11-04,SCOTT PHILLIPS,Democratic Party,417,63.76 %
Election District 11-04,JOHN MACHUREK,Non-Partisan Delaware,237,36.24 %
Election District 12-01,SCOTT PHILLIPS,Democratic Party,632,85.75 %
Election District 12-01,JOHN MACHUREK,Non-Partisan Delaware,105,14.25 %
Election District 12-02,SCOTT PHILLIPS,Democratic Party,485,85.09 %
Election District 12-02,JOHN MACHUREK,Non-Partisan Delaware,85,14.91 %
Election District 12-03,SCOTT PHILLIPS,Democratic Party,415,85.92 %
Election District 12-03,JOHN MACHUREK,Non-Partisan Delaware,68,14.08 %
Election District 12-04,SCOTT PHILLIPS,Democratic Party,807,84.68 %
Election District 12-04,JOHN MACHUREK,Non-Partisan Delaware,146,15.32 %
Election District 12-05,SCOTT PHILLIPS,Democratic Party,716,83.74 %
Election District 12-05,JOHN MACHUREK,Non-Partisan Delaware,139,16.26 %
Election District 12-06,SCOTT PHILLIPS,Democratic Party,238,83.51 %
Election District 12-06,JOHN MACHUREK,Non-Partisan Delaware,47,16.49 %
Election District 12-07,SCOTT PHILLIPS,Democratic Party,203,86.38 %
Election District 12-07,JOHN MACHUREK,Non-Partisan Delaware,32,13.62 %
Election District 12-08,SCOTT PHILLIPS,Democratic Party,113,92.62 %
Election District 12-08,JOHN MACHUREK,Non-Partisan Delaware,9,7.38 %
Election District 12-09,SCOTT PHILLIPS,Democratic Party,566,84.35 %
Election District 12-09,JOHN MACHUREK,Non-Partisan Delaware,105,15.65 %
Election District 12-10,SCOTT PHILLIPS,Democratic Party,500,83.19 %
Election District 12-10,JOHN MACHUREK,Non-Partisan Delaware,101,16.81 %
Election District 12-11,SCOTT PHILLIPS,Democratic Party,451,78.3 %
Election District 12-11,JOHN MACHUREK,Non-Partisan Delaware,125,21.7 %
Election District 12-12,SCOTT PHILLIPS,Democratic Party,73,85.88 %
Election District 12-12,JOHN MACHUREK,Non-Partisan Delaware,12,14.12 %
Election District 12-13,SCOTT PHILLIPS,Democratic Party,215,80.83 %
Election District 12-13,JOHN MACHUREK,Non-Partisan Delaware,51,19.17 %
Election District 12-14,SCOTT PHILLIPS,Democratic Party,506,84.05 %
Election District 12-14,JOHN MACHUREK,Non-Partisan Delaware,96,15.95 %
Election District 12-15,SCOTT PHILLIPS,Democratic Party,366,91.73 %
Election District 12-15,JOHN MACHUREK,Non-Partisan Delaware,33,8.27 %
Election District 12-16,SCOTT PHILLIPS,Democratic Party,680,89.24 %
Election District 12-16,JOHN MACHUREK,Non-Partisan Delaware,82,10.76 %
Election District 12-17,SCOTT PHILLIPS,Democratic Party,937,87.73 %
Election District 12-17,JOHN MACHUREK,Non-Partisan Delaware,131,12.27 %
Election District 13-01,SCOTT PHILLIPS,Democratic Party,341,85.04 %
Election District 13-01,JOHN MACHUREK,Non-Partisan Delaware,60,14.96 %
Election District 13-02,SCOTT PHILLIPS,Democratic Party,269,83.8 %
Election District 13-02,JOHN MACHUREK,Non-Partisan Delaware,52,16.2 %
Election District 13-03,SCOTT PHILLIPS,Democratic Party,91,92.86 %
Election District 13-03,JOHN MACHUREK,Non-Partisan Delaware,7,7.14 %
Election District 13-04,SCOTT PHILLIPS,Democratic Party,481,80.43 %
Election District 13-04,JOHN MACHUREK,Non-Partisan Delaware,117,19.57 %
Election District 13-05,SCOTT PHILLIPS,Democratic Party,351,85.19 %
Election District 13-05,JOHN MACHUREK,Non-Partisan Delaware,61,14.81 %
Election District 13-06,SCOTT PHILLIPS,Democratic Party,424,79.4 %
Election District 13-06,JOHN MACHUREK,Non-Partisan Delaware,110,20.6 %
Election District 13-07,SCOTT PHILLIPS,Democratic Party,223,82.59 %
Election District 13-07,JOHN MACHUREK,Non-Partisan Delaware,47,17.41 %
Election District 13-08,SCOTT PHILLIPS,Democratic Party,380,88.17 %
Election District 13-08,JOHN MACHUREK,Non-Partisan Delaware,51,11.83 %
Election District 13-09,SCOTT PHILLIPS,Democratic Party,378,87.5 %
Election District 13-09,JOHN MACHUREK,Non-Partisan Delaware,54,12.5 %
Election District 13-10,SCOTT PHILLIPS,Democratic Party,161,83.42 %
Election District 13-10,JOHN MACHUREK,Non-Partisan Delaware,32,16.58 %
Election District 13-11,SCOTT PHILLIPS,Democratic Party,289,85.76 %
Election District 13-11,JOHN MACHUREK,Non-Partisan Delaware,48,14.24 %
Election District 13-12,SCOTT PHILLIPS,Democratic Party,0,0 %
Election District 13-12,JOHN MACHUREK,Non-Partisan Delaware,0,0 %
Election District 13-13,SCOTT PHILLIPS,Democratic Party,57,89.06 %
Election District 13-13,JOHN MACHUREK,Non-Partisan Delaware,7,10.94 %
Election District 13-14,SCOTT PHILLIPS,Democratic Party,261,81.56 %
Election District 13-14,JOHN MACHUREK,Non-Partisan Delaware,59,18.44 %
Election District 13-15,SCOTT PHILLIPS,Democratic Party,20,76.92 %
Election District 13-15,JOHN MACHUREK,Non-Partisan Delaware,6,23.08 %
Election District 15-01,SCOTT PHILLIPS,Democratic Party,332,82.79 %
Election District 15-01,JOHN MACHUREK,Non-Partisan Delaware,69,17.21 %
Election District 15-02,SCOTT PHILLIPS,Democratic Party,432,85.54 %
Election District 15-02,JOHN MACHUREK,Non-Partisan Delaware,73,14.46 %
Election District 15-03,SCOTT PHILLIPS,Democratic Party,747,87.37 %
Election District 15-03,JOHN MACHUREK,Non-Partisan Delaware,108,12.63 %
Election District 15-04,SCOTT PHILLIPS,Democratic Party,396,83.02 %
Election District 15-04,JOHN MACHUREK,Non-Partisan Delaware,81,16.98 %
Election District 15-05,SCOTT PHILLIPS,Democratic Party,277,79.14 %
Election District 15-05,JOHN MACHUREK,Non-Partisan Delaware,73,20.86 %
Election District 15-06,SCOTT PHILLIPS,Democratic Party,454,88.5 %
Election District 15-06,JOHN MACHUREK,Non-Partisan Delaware,59,11.5 %
Election District 15-07,SCOTT PHILLIPS,Democratic Party,541,86.01 %
Election District 15-07,JOHN MACHUREK,Non-Partisan Delaware,88,13.99 %
Election District 15-08,SCOTT PHILLIPS,Democratic Party,158,79.8 %
Election District 15-08,JOHN MACHUREK,Non-Partisan Delaware,40,20.2 %
Election District 15-09,SCOTT PHILLIPS,Democratic Party,493,78.38 %
Election District 15-09,JOHN MACHUREK,Non-Partisan Delaware,136,21.62 %
Election District 15-10,SCOTT PHILLIPS,Democratic Party,662,90.56 %
Election District 15-10,JOHN MACHUREK,Non-Partisan Delaware,69,9.44 %
Election District 15-11,SCOTT PHILLIPS,Democratic Party,731,91.26 %
Election District 15-11,JOHN MACHUREK,Non-Partisan Delaware,70,8.74 %
Election District 16-01,SCOTT PHILLIPS,Democratic Party,388,85.84 %
Election District 16-01,JOHN MACHUREK,Non-Partisan Delaware,64,14.16 %
Election District 16-02,SCOTT PHILLIPS,Democratic Party,376,94 %
Election District 16-02,JOHN MACHUREK,Non-Partisan Delaware,24,6 %
Election District 16-03,SCOTT PHILLIPS,Democratic Party,371,97.63 %
Election District 16-03,JOHN MACHUREK,Non-Partisan Delaware,9,2.37 %
Election District 16-04,SCOTT PHILLIPS,Democratic Party,126,88.73 %
Election District 16-04,JOHN MACHUREK,Non-Partisan Delaware,16,11.27 %
Election District 16-05,SCOTT PHILLIPS,Democratic Party,476,96.75 %
Election District 16-05,JOHN MACHUREK,Non-Partisan Delaware,16,3.25 %
Election District 16-06,SCOTT PHILLIPS,Democratic Party,332,93.79 %
Election District 16-06,JOHN MACHUREK,Non-Partisan Delaware,22,6.21 %
Election District 16-07,SCOTT PHILLIPS,Democratic Party,446,92.34 %
Election District 16-07,JOHN MACHUREK,Non-Partisan Delaware,37,7.66 %
Election District 16-08,SCOTT PHILLIPS,Democratic Party,632,93.77 %
Election District 16-08,JOHN MACHUREK,Non-Partisan Delaware,42,6.23 %
Election District 16-09,SCOTT PHILLIPS,Democratic Party,296,88.89 %
Election District 16-09,JOHN MACHUREK,Non-Partisan Delaware,37,11.11 %
Election District 16-10,SCOTT PHILLIPS,Democratic Party,36,97.3 %
